# 5_1-14

14 cards, 139 instructions, 1 empty slots
29 direct jumps, 29 of them inside the deck (100.0 %), 3 backwards (loops); 0 indirect accesses (ЧтII/ЗпII/БПII)

No   Card   Instruction   Meaning
------------------------------------------------------------------------
000 →   1        Чт 112   cell 112 - read the cell into the accumulator, S := a
001     1        Сл 109   cell 109 - addition, S := S + a
002     1        Зп 130   cell 130 - write the accumulator to the cell, a := S
003     1      Выч1 110   cell 110 - subtraction, S := S - a
004     1       УП1 009   instruction 009 - conditional jump to k if S = 0
005     1        Чт 130   cell 130 - read the cell into the accumulator, S := a
006     1        Сл 113   cell 113 - addition, S := S + a
007     1        Зп 131   cell 131 - write the accumulator to the cell, a := S
008     1        БП 012   instruction 012 - unconditional jump to k
009 →   1        Чт 110   cell 110 - read the cell into the accumulator, S := a
010     2        Сл 113   cell 113 - addition, S := S + a
011     2        Зп 131   cell 131 - write the accumulator to the cell, a := S
012 →   2        Чт 111   cell 111 - read the cell into the accumulator, S := a
013     2      Выч1 131   cell 131 - subtraction, S := S - a
014     2       УП1 019   instruction 019 - conditional jump to k if S = 0
015     2        Чт 111   cell 111 - read the cell into the accumulator, S := a
016     2        Сл 114   cell 114 - addition, S := S + a
017     2        Зп 132   cell 132 - write the accumulator to the cell, a := S
018     2        БП 022   instruction 022 - unconditional jump to k
019 →   2        Чт 111   cell 111 - read the cell into the accumulator, S := a
020     3        Сл 131   cell 131 - addition, S := S + a
021     3        Зп 132   cell 132 - write the accumulator to the cell, a := S
022 →   3        Чт 132   cell 132 - read the cell into the accumulator, S := a
023     3        Сл 117   cell 117 - addition, S := S + a
024     3        Сл 120   cell 120 - addition, S := S + a
025     3        Зп 100   cell 100 - write the accumulator to the cell, a := S
026     3        Чт 131   cell 131 - read the cell into the accumulator, S := a
027     3        Сл 116   cell 116 - addition, S := S + a
028     3        Сл 119   cell 119 - addition, S := S + a
029     3        Зп 101   cell 101 - write the accumulator to the cell, a := S
030     4        Чт 117   cell 117 - read the cell into the accumulator, S := a
031     4      Выч1 120   cell 120 - subtraction, S := S - a
032     4       УП1 137   instruction 137 - conditional jump to k if S = 0
033     4        Чт 101   cell 101 - read the cell into the accumulator, S := a
034     4        Сл 120   cell 120 - addition, S := S + a
035     4        Зп 101   cell 101 - write the accumulator to the cell, a := S
036     4        БП 040   instruction 040 - unconditional jump to k
037     4        Чт 101   cell 101 - read the cell into the accumulator, S := a
